"";"PTBrate";"nbirth";"seasons";"missind";"missind.1"
"128";0,225978647686833;562;6;FALSE;FALSE
"129";0,24406779661017;590;6;FALSE;FALSE
"130";0,255012621709341;605;6;TRUE;TRUE
"131";0,265957446808511;564;6;FALSE;FALSE
"132";0,249977422967164;590;7;TRUE;TRUE
"133";0,233997399125818;573;7;TRUE;TRUE
"134";0,218017375284471;591;7;TRUE;TRUE
"135";0,202037351443124;589;7;FALSE;FALSE
"136";0,222882475004716;586;8;TRUE;TRUE
"137";0,243727598566308;558;8;FALSE;FALSE
"138";0,232558139534884;559;8;FALSE;FALSE
"139";0,265975820379965;579;8;FALSE;FALSE
"140";0,244193343127164;558;8;TRUE;TRUE
"141";0,222410865874363;589;9;FALSE;FALSE
"142";0,248376623376623;616;9;FALSE;FALSE
"143";0,215722120658135;547;9;FALSE;FALSE
"144";0,222041539150431;552;9;TRUE;TRUE
"145";0,228360957642726;543;10;FALSE;FALSE
"146";0,214285714285714;588;10;FALSE;FALSE
"147";0,224832214765101;596;10;FALSE;FALSE
"148";0,227979274611399;579;10;FALSE;FALSE
"149";0,211409395973154;596;11;FALSE;FALSE
"150";0,228995057660626;607;11;FALSE;FALSE
"151";0,234188034188034;585;11;FALSE;FALSE
"152";0,24914089347079;582;11;FALSE;FALSE
"153";0,224489795918367;588;11;FALSE;FALSE
"154";0,227805695142379;597;12;FALSE;FALSE
"155";0,240388416331801;603;12;TRUE;TRUE
"156";0,252971137521222;589;12;FALSE;FALSE
"157";0,226307315641182;590;12;TRUE;TRUE
"158";0,199643493761141;561;1;FALSE;FALSE
"159";0,213913043478261;575;1;FALSE;FALSE
"160";0,210616438356164;584;1;FALSE;FALSE
"161";0,242268041237113;582;1;FALSE;FALSE
"162";0,228276877761414;588;2;TRUE;TRUE
"163";0,214285714285714;560;2;FALSE;FALSE
"164";0,235194585448393;591;2;FALSE;FALSE
"165";0,288354898336414;541;2;FALSE;FALSE
"166";0,228937728937729;546;3;FALSE;FALSE
"167";0,246977547495682;579;3;FALSE;FALSE
"168";0,24954128440367;545;3;FALSE;FALSE
"169";0,242161946549661;566;3;TRUE;TRUE
"170";0,234782608695652;575;3;FALSE;FALSE
"171";0,22280701754386;570;4;FALSE;FALSE
"172";0,23679727427598;587;4;FALSE;FALSE
"173";0,257627118644068;590;4;FALSE;FALSE
"174";0,242372881355932;590;4;FALSE;FALSE
"175";0,321311475409836;610;5;FALSE;FALSE
"176";0,268630849220104;577;5;FALSE;FALSE
"177";0,263157894736842;570;5;FALSE;FALSE
"178";0,267862133209129;585;5;TRUE;TRUE
"179";0,272566371681416;565;5;FALSE;FALSE
"180";0,27318718381113;593;6;FALSE;FALSE
"181";0,248576850094877;527;6;FALSE;FALSE
"182";0,266429840142096;563;6;FALSE;FALSE
"183";0,255398628909869;625;6;TRUE;TRUE
"184";0,244367417677643;577;7;FALSE;FALSE
"185";0,254325259515571;578;7;FALSE;FALSE
"186";0,229591836734694;588;7;FALSE;FALSE
"187";0,236294896030246;529;7;FALSE;FALSE
"188";0,207221350078493;637;8;FALSE;FALSE
"189";0,231597845601436;557;8;FALSE;FALSE
"190";0,225524475524476;572;8;FALSE;FALSE
"191";0,251689189189189;592;8;FALSE;FALSE
"192";0,269201237951238;588;8;TRUE;TRUE
"193";0,286713286713287;572;9;FALSE;FALSE
"194";0,220910623946037;593;9;FALSE;FALSE
"195";0,246644295302013;596;9;FALSE;FALSE
"196";0,212099367081493;543;9;TRUE;TRUE
"197";0,177554438860972;597;10;FALSE;FALSE
"198";0,198952879581152;573;10;FALSE;FALSE
"199";0,234887737478411;579;10;FALSE;FALSE
"200";0,252808988764045;534;10;FALSE;FALSE
"201";0,212271973466003;603;11;FALSE;FALSE
"202";0,225423728813559;590;11;FALSE;FALSE
"203";0,23859649122807;570;11;FALSE;FALSE
"204";0,247397419167754;585;11;TRUE;TRUE
"205";0,256198347107438;605;11;FALSE;FALSE
"206";0,243993213288819;605;12;TRUE;TRUE
"207";0,231788079470199;604;12;FALSE;FALSE
"208";0,232715008431703;593;12;FALSE;FALSE
"209";0,241796200345423;579;12;FALSE;FALSE
"210";0,237623762376238;606;1;FALSE;FALSE
"211";0,225130890052356;573;1;FALSE;FALSE
"212";0,255172413793103;580;1;FALSE;FALSE
"213";0,223880597014925;603;1;FALSE;FALSE
"214";0,247572815533981;618;1;FALSE;FALSE
"215";0,259786476868327;562;2;FALSE;FALSE
"216";0,237261146496815;628;2;FALSE;FALSE
"217";0,238195790639712;603;2;TRUE;TRUE
"218";0,239130434782609;598;2;FALSE;FALSE
"219";0,27427597955707;587;3;FALSE;FALSE
"220";0,242258652094718;549;3;FALSE;FALSE
"221";0,259581881533101;574;3;FALSE;FALSE
"222";0,242174629324547;607;3;FALSE;FALSE
"223";0,241438356164384;584;4;FALSE;FALSE
"224";0,280265339966833;603;4;FALSE;FALSE
"225";0,216998191681736;553;4;FALSE;FALSE
"226";0,262267343485618;591;4;FALSE;FALSE
"227";0,259558329277055;556;5;TRUE;TRUE
"228";0,256849315068493;584;5;FALSE;FALSE
"229";0,267527675276753;542;5;FALSE;FALSE
"230";0,225303292894281;577;5;FALSE;FALSE
"231";0,225085910652921;582;5;FALSE;FALSE
