"";"PTB.rate";"nbirth";"seasons";"missind"
"160";0,196917808219178;584;1;FALSE
"161";0,199312714776632;582;1;FALSE
"162";0,20578231292517;588;2;FALSE
"163";0,221428571428571;560;2;FALSE
"164";0,219966159052453;591;2;FALSE
"165";0,236598890942699;541;2;FALSE
"166";0,256410256410256;546;3;FALSE
"167";0,224525043177893;579;3;FALSE
"168";0,222018348623853;545;3;FALSE
"169";0,247349823321555;566;3;FALSE
"170";0,20695652173913;575;3;FALSE
"171";0,201754385964912;570;4;FALSE
"172";0,201022146507666;587;4;FALSE
"173";0,21864406779661;590;4;FALSE
"174";0,227118644067797;590;4;FALSE
"175";0,221311475409836;610;5;FALSE
"176";0,227036395147314;577;5;FALSE
"177";0,198245614035088;570;5;FALSE
"178";0,24957264957265;585;5;FALSE
"179";0,247787610619469;565;5;FALSE
"180";0,227655986509275;593;6;FALSE
"181";0,22011385199241;527;6;FALSE
"182";0,19360568383659;563;6;FALSE
"183";0,2016;625;6;FALSE
"184";0,21317157712305;577;7;FALSE
"185";0,211072664359862;578;7;FALSE
"186";0,210884353741497;588;7;FALSE
"187";0,206049149338374;529;7;FALSE
"188";0,233908948194662;637;8;FALSE
"189";0,192100538599641;557;8;FALSE
"190";0,213286713286713;572;8;FALSE
"191";0,197635135135135;592;8;FALSE
"192";0,222789115646259;588;8;FALSE
"193";0,213286713286713;572;9;FALSE
"194";0,198988195615514;593;9;FALSE
"195";0,23489932885906;596;9;FALSE
"196";0,213627992633518;543;9;FALSE
"197";0,224455611390285;597;10;FALSE
"198";0,179755671902269;573;10;FALSE
"199";0,20552677029361;579;10;FALSE
"200";0,205992509363296;534;10;FALSE
"201";0,223880597014925;603;11;FALSE
"202";0,198305084745763;590;11;FALSE
"203";0,214035087719298;570;11;FALSE
"204";0,193162393162393;585;11;FALSE
"205";0,214876033057851;605;11;FALSE
"206";0,214876033057851;605;12;FALSE
"207";0,246688741721854;604;12;FALSE
"208";0,24283305227656;593;12;FALSE
"209";0,22279792746114;579;12;FALSE
"210";0,240924092409241;606;1;FALSE
"211";0,221640488656195;573;1;FALSE
"212";0,231034482758621;580;1;FALSE
"213";0,217247097844113;603;1;FALSE
"214";0,197411003236246;618;1;FALSE
"215";0,238434163701068;562;2;FALSE
"216";0,237261146496815;628;2;FALSE
"217";0,232172470978441;603;2;FALSE
"218";0,225752508361204;598;2;FALSE
"219";0,231686541737649;587;3;FALSE
"220";0,249544626593807;549;3;FALSE
"221";0,212543554006969;574;3;FALSE
"222";0,209225700164745;607;3;FALSE
"223";0,23972602739726;584;4;FALSE
"224";0,280265339966833;603;4;FALSE
"225";0,224231464737794;553;4;FALSE
"226";0,223350253807107;591;4;FALSE
"227";0,221223021582734;556;5;FALSE
"228";0,243150684931507;584;5;FALSE
"229";0,260147601476015;542;5;FALSE
"230";0,244367417677643;577;5;FALSE
"231";0,24914089347079;582;5;FALSE
"232";0,219931271477663;582;6;FALSE
"233";0,238095238095238;546;6;FALSE
"234";0,210896309314587;569;6;FALSE
"235";0,231046931407942;554;6;FALSE
"236";0,208791208791209;637;7;FALSE
"237";0,240589198036007;611;7;FALSE
"238";0,209076175040519;617;7;FALSE
"239";0,25938566552901;586;7;FALSE
"240";0,222972972972973;592;8;FALSE
"241";0,282374100719424;556;8;FALSE
"242";0,215851602023609;593;8;FALSE
"243";0,225190839694656;524;8;FALSE
"244";0,233333333333333;600;8;FALSE
"245";0,204301075268817;558;9;FALSE
"246";0,220779220779221;539;9;FALSE
"247";0,234991423670669;583;9;FALSE
"248";0,232342007434944;538;9;FALSE
"249";0,186411149825784;574;10;FALSE
"250";0,230240549828179;582;10;FALSE
"251";0,245080500894454;559;10;FALSE
"252";0,236706689536878;583;10;FALSE
"253";0,218370883882149;577;10;FALSE
"254";0,240437158469945;549;11;FALSE
"255";0,226027397260274;584;11;FALSE
"256";0,283171521035599;618;11;FALSE
"257";0,255244755244755;572;11;FALSE
"258";0,232053422370618;599;12;FALSE
"259";0,258347978910369;569;12;FALSE
"260";0,239864864864865;592;12;FALSE
"261";0,231304347826087;575;12;FALSE
"262";0,261382799325464;593;1;FALSE
"263";0,253012048192771;581;1;FALSE
"264";0,259965337954939;577;1;FALSE
"265";0,260434056761269;599;1;FALSE
"266";0,244027303754266;586;1;FALSE
"267";0,242902208201893;634;2;FALSE
"268";0,253355704697987;596;2;FALSE
"269";0,240574506283662;557;2;FALSE
"270";0,252442996742671;614;2;FALSE
"271";0,264309764309764;594;3;FALSE
"272";0,25569176882662;571;3;FALSE
"273";0,26797385620915;612;3;FALSE
"274";0,242685025817556;581;3;FALSE
"275";0,229452054794521;584;4;FALSE
"276";0,293497363796134;426;4;FALSE
"277";0,209225700164745;455;4;FALSE
"278";0,21903052064632;417;4;FALSE
"279";0,184070796460177;423;4;FALSE
"280";0,24866785079929;422;5;FALSE
"281";0,209471766848816;411;5;FALSE
"282";0,20957095709571;454;5;FALSE
"283";0,20265780730897;451;5;FALSE
"284";0,218803418803419;438;6;FALSE
"285";0,222030981067126;435;6;FALSE
"286";0,198098256735341;473;6;FALSE
"287";0,212121212121212;420;6;FALSE
"288";0,192893401015228;443;7;FALSE
"289";0,20873786407767;463;7;FALSE
"290";0,232851985559567;415;7;FALSE
"291";0,215547703180212;424;7;FALSE
"292";0,238434163701068;421;7;FALSE
"293";0,238095238095238;393;8;FALSE
